"datas";"exames_solicitados";"casos_descartados";"casos_positivos";"casos_obito";"exames_solicitados_acumulado";"casos_descartados_acumulado";"casos_positivos_acumulado";"casos_obito_acumulado"
2020-01-01;0;0;0;0;0;0;0;0
2020-01-02;1;1;0;0;1;1;0;0
2020-01-03;1;1;0;0;2;2;0;0
2020-01-04;0;0;0;0;2;2;0;0
2020-01-05;0;0;0;0;2;2;0;0
2020-01-06;0;0;0;0;2;2;0;0
2020-01-07;1;1;0;0;3;3;0;0
2020-01-08;0;0;0;0;3;3;0;0
2020-01-09;1;1;0;0;4;4;0;0
2020-01-10;1;1;0;0;5;5;0;0
2020-01-11;0;0;0;0;5;5;0;0
2020-01-12;0;0;0;0;5;5;0;0
2020-01-13;0;0;0;0;5;5;0;0
2020-01-14;0;0;0;0;5;5;0;0
2020-01-15;1;1;0;0;6;6;0;0
2020-01-16;0;0;0;0;6;6;0;0
2020-01-17;0;0;0;0;6;6;0;0
2020-01-18;0;0;0;0;6;6;0;0
2020-01-19;0;0;0;0;6;6;0;0
2020-01-20;2;2;0;0;8;8;0;0
2020-01-21;2;2;0;0;10;10;0;0
2020-01-22;0;0;0;0;10;10;0;0
2020-01-23;0;0;0;0;10;10;0;0
2020-01-24;1;1;0;0;11;11;0;0
2020-01-25;0;0;0;0;11;11;0;0
2020-01-26;0;0;0;0;11;11;0;0
2020-01-27;0;0;0;0;11;11;0;0
2020-01-28;0;0;0;0;11;11;0;0
2020-01-29;1;1;0;0;12;12;0;0
2020-01-30;0;0;0;0;12;12;0;0
2020-01-31;0;0;0;0;12;12;0;0
2020-02-01;0;0;0;0;12;12;0;0
2020-02-02;0;0;0;0;12;12;0;0
2020-02-03;2;2;0;0;14;14;0;0
2020-02-04;1;1;0;0;15;15;0;0
2020-02-05;0;0;0;0;15;15;0;0
2020-02-06;3;3;0;0;18;18;0;0
2020-02-07;5;5;0;0;23;23;0;0
2020-02-08;0;0;0;0;23;23;0;0
2020-02-09;0;0;0;0;23;23;0;0
2020-02-10;1;1;0;0;24;24;0;0
2020-02-11;1;1;0;0;25;25;0;0
2020-02-12;1;1;0;0;26;26;0;0
2020-02-13;1;1;0;0;27;27;0;0
2020-02-14;1;1;0;0;28;28;0;0
2020-02-15;0;0;0;0;28;28;0;0
2020-02-16;0;0;0;0;28;28;0;0
2020-02-17;0;0;0;0;28;28;0;0
2020-02-18;1;1;0;0;29;29;0;0
2020-02-19;0;0;0;0;29;29;0;0
2020-02-20;0;0;0;0;29;29;0;0
2020-02-21;0;0;0;0;29;29;0;0
2020-02-22;0;0;0;0;29;29;0;0
2020-02-23;0;0;0;0;29;29;0;0
2020-02-24;0;0;0;0;29;29;0;0
2020-02-25;1;1;0;0;30;30;0;0
2020-02-26;2;2;0;0;32;32;0;0
2020-02-27;4;4;0;0;36;36;0;0
2020-02-28;3;3;0;0;39;39;0;0
2020-02-29;1;1;0;0;40;40;0;0
2020-03-01;0;0;0;0;40;40;0;0
2020-03-02;2;2;0;0;42;42;0;0
2020-03-03;3;3;0;0;45;45;0;0
2020-03-04;6;6;0;0;51;51;0;0
2020-03-05;2;2;0;0;53;53;0;0
2020-03-06;4;4;0;0;57;57;0;0
2020-03-07;0;0;0;0;57;57;0;0
2020-03-08;0;0;0;0;57;57;0;0
2020-03-09;13;13;0;0;70;70;0;0
2020-03-10;10;9;1;0;80;79;1;0
2020-03-11;4;4;0;0;84;83;1;0
2020-03-12;9;9;0;0;93;92;1;0
2020-03-13;22;22;0;0;115;114;1;0
2020-03-14;17;14;3;0;132;128;4;0
2020-03-15;11;10;1;0;143;138;5;0
2020-03-16;57;57;0;0;200;195;5;0
2020-03-17;76;70;6;0;276;265;11;0
2020-03-18;61;60;1;0;337;325;12;0
2020-03-19;53;49;4;0;390;374;16;0
2020-03-20;67;64;3;0;457;438;19;0
2020-03-21;37;32;5;0;494;470;24;0
2020-03-22;58;48;10;0;552;518;34;0
2020-03-23;191;163;28;0;743;681;62;0
2020-03-24;146;120;26;0;889;801;88;0
2020-03-25;136;98;38;0;1025;899;126;0
2020-03-26;117;89;28;0;1142;988;154;0
2020-03-27;136;114;22;0;1278;1102;176;0
2020-03-28;85;75;10;3;1363;1177;186;3
2020-03-29;76;64;12;1;1439;1241;198;4
2020-03-30;204;173;31;0;1643;1414;229;4
2020-03-31;154;134;20;1;1797;1548;249;5
2020-04-01;136;111;25;0;1933;1659;274;5
2020-04-02;115;99;16;1;2048;1758;290;6
2020-04-03;135;113;22;2;2183;1871;312;8
2020-04-04;55;46;9;0;2238;1917;321;8
2020-04-05;45;40;5;2;2283;1957;326;10
2020-04-06;112;105;7;0;2395;2062;333;10
2020-04-07;107;90;17;1;2502;2152;350;11
2020-04-08;98;80;18;3;2600;2232;368;14
2020-04-09;74;60;14;3;2674;2292;382;17
2020-04-10;42;38;4;0;2716;2330;386;17
2020-04-11;43;37;6;2;2759;2367;392;19
2020-04-12;35;28;7;0;2794;2395;399;19
2020-04-13;94;68;26;1;2888;2463;425;20
2020-04-14;103;72;31;3;2991;2535;456;23
2020-04-15;87;69;18;1;3078;2604;474;24
2020-04-16;87;54;33;2;3165;2658;507;26
2020-04-17;86;66;20;0;3251;2724;527;26
2020-04-18;55;36;19;1;3306;2760;546;27
2020-04-19;49;26;23;1;3355;2786;569;28
2020-04-20;108;51;57;2;3463;2837;626;30
2020-04-21;55;36;19;4;3518;2873;645;34
2020-04-22;107;82;25;4;3625;2955;670;38
2020-04-23;138;95;43;4;3763;3050;713;42
2020-04-24;137;97;40;2;3900;3147;753;44
2020-04-25;70;50;20;4;3970;3197;773;48
2020-04-26;65;36;29;0;4035;3233;802;48
2020-04-27;165;116;49;5;4200;3349;851;53
2020-04-28;141;89;52;5;4341;3438;903;58
2020-04-29;146;99;47;6;4487;3537;950;64
2020-04-30;140;76;64;2;4627;3613;1014;66
2020-05-01;99;61;38;8;4726;3674;1052;74
2020-05-02;98;44;54;4;4824;3718;1106;78
2020-05-03;71;37;34;1;4895;3755;1140;79
2020-05-04;161;76;85;7;5056;3831;1225;86
2020-05-05;176;89;87;5;5232;3920;1312;91
2020-05-06;169;84;85;6;5401;4004;1397;97
2020-05-07;161;93;68;8;5562;4097;1465;105
2020-05-08;161;86;75;5;5723;4183;1540;110
2020-05-09;76;39;37;7;5799;4222;1577;117
2020-05-10;71;35;36;7;5870;4257;1613;124
2020-05-11;201;95;106;8;6071;4352;1719;132
2020-05-12;184;79;105;14;6255;4431;1824;146
2020-05-13;211;106;105;8;6466;4537;1929;154
2020-05-14;183;96;87;12;6649;4633;2016;166
